,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,4,pensais,thought
4,5,aide,help
5,6,demande,request
6,7,frère,brother
7,8,laisser,let
8,10,mettre,to put
9,11,aucun,no
10,12,laisse,leash
11,13,eux,them
12,14,chaque,each
13,15,parlé,speak
14,16,arrivé,come
15,17,devrait,should
16,18,bébé,baby
17,19,longtemps,long time
18,20,heures,hours
19,21,vont,will
20,22,pendant,while
21,23,revoir,meet again
22,24,aucune,any
23,25,place,square
24,26,parle,speak
25,27,compris,understood
26,28,étaient,were
27,29,attention,Warning
28,30,voici,here is
29,31,pourrais,could
30,32,donner,give
31,33,type,type
32,34,leurs,their
33,35,donné,given
34,36,train,train
35,37,corps,body
36,38,endroit,place
37,39,yeux,eyes
38,40,façon,way
39,41,écoute,listen
40,42,dont,whose
41,43,trouve,find
42,44,premier,first
43,45,perdu,lost
44,46,main,hand
45,47,première,first
46,48,côté,side
47,49,pouvoir,power
48,51,sois,be
49,52,tiens,here
50,53,matin,morning
51,54,enfant,child
52,55,point,point
53,56,venu,came
54,57,pardon,sorry
55,58,venez,come
56,59,devant,in front of
57,60,vers,towards
58,61,minutes,minutes
59,62,demandé,request
60,63,chambre,bedroom
61,64,mis,placed
62,65,belle,beautiful
63,67,aimerais,would like to
64,68,aujourd'hui,today
65,69,mari,husband
66,70,enfin,finally
67,72,eau,water
68,74,parti,left
69,75,boulot,job
70,76,arrêter,Stop
71,77,dirait,would say
72,79,compte,account
73,80,donne,given
74,81,loin,far
75,82,fin,end
76,83,croire,believe
77,84,chérie,sweetheart
78,85,gros,large
79,86,plutôt,rather
80,87,aura,will have
81,89,bureau,office
